ИНН,Сокращенное наименование,Полное наименование,В реестре,Статус проверки,Найденное название,ОГРН,Выручка,Налоги,Сотрудники,Применяет УСН,Ошибка
3906390130,"ООО ""СЛИТ""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СКИЛ ЛАЙН. ИНТЕРНЕТ ТЕХНОЛОГИИ""",Да,Компания входит в реестр аккредитованных ИТ-компаний,"ООО ""СЛИТ""",,19873000,530197,8,Да,
3906203414,"ООО ""КИЦ ТЦ""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ КАЛИНИНГРАДСКИЙ ИННОВАЦИОННЫЙ ЦЕНТР ""ТЕХНОЦЕНОЗ""",Да,Компания входит в реестр аккредитованных ИТ-компаний,"ООО ""КИЦ ТЦ""",,5032000,528883,4,Да,
3906374480,"ООО ""НТД СОФТ""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""НТД СОФТ""",Да,Компания входит в реестр аккредитованных ИТ-компаний,"ООО ""НТД СОФТ""",,7422000,502911,7,Да,
3906379930,"ООО ""АРТМИКС РАЗРАБОТКА""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АРТМИКС РАЗРАБОТКА""",Да,Компания входит в реестр аккредитованных ИТ-компаний,"ООО ""АРТМИКС РАЗРАБОТКА""",,6709000,491027,5,Да,
3906399492,"АО ""АЙДЕСК""","АКЦИОНЕРНОЕ ОБЩЕСТВО ""АЙДЕСК""",Да,Компания входит в реестр аккредитованных ИТ-компаний,"АО ""АЙДЕСК""",,4601000,488188,3,Да,
3906376199,"ООО ""МЕРКУРИЙ""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МЕРКУРИЙ""",Да,Компания входит в реестр аккредитованных ИТ-компаний,"ООО ""МЕРКУРИЙ""",,550000,453269,6,Да,
3908025326,"ООО ""СОБИКО""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СОБИКО""",Да,Компания входит в реестр аккредитованных ИТ-компаний,"ООО ""СОБИКО""",,14031000,452286,9,Да,
3906172396,"ООО ""БУЛЕАН""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ  ""БУЛЕАН""",Да,Компания входит в реестр аккредитованных ИТ-компаний,"ООО ""БУЛЕАН""",,2173000,420421,3,Да,
3906386750,"ООО ""ДЕМЛАБ""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЛАБОРАТОРИЯ ДИЗАЙНА,ИНЖИНИРИНГА И ПРОИЗВОДСТВА""",Нет,Компания не входит в реестр аккредитованных ИТ-компаний,"ООО ""ДЕМЛАБ""",,375000,400398,1,Да,
3904092392,"ООО ""ЦРПО""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЦРПО""",Да,Компания входит в реестр аккредитованных ИТ-компаний,"ООО ""ЦРПО""",,12683000,362524,2,Да,
3917054877,"ООО ""ДАРКСЕЛЬ""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ДАРКСЕЛЬ""",Да,Компания входит в реестр аккредитованных ИТ-компаний,"ООО ""ДАРКСЕЛЬ""",,13248000,348747,12,Да,
3918503596,"ООО ""ДЖЕТМИКС""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ДЖЕТМИКС""",Да,Компания входит в реестр аккредитованных ИТ-компаний,"ООО ""ДЖЕТМИКС""",,10203000,341613,3,Да,
3916013349,"ООО ""МУЛЬТИ САЙТ""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МУЛЬТИ САЙТ""",Да,Компания входит в реестр аккредитованных ИТ-компаний,"ООО ""МУЛЬТИ САЙТ""",,7968000,316176,11,Да,
