Название,ИНН,ОГРН,КПП,Адрес,Статус,В реестре,Дата регистрации,Уставной капитал,Основной вид деятельности,Налоги,Источник
"ООО ""ТРИАКСЕС ЛАЙН""",3906326800,1143926019907,390632680,"238312,Калининградская область,Гурьевский р-н, п Заозерье,Земляничная ул, д. 15",Действующая,Да,,12 500 руб,,1 млн руб.,rusprofile
"ООО ""ЮНИКОМ ЗАПАД""",3906213356,1093925036072,390621335,"236040,Калининградская область,город Калининград,ул. Сергеева, д.41, 24",Действующая,Да,,10 000 руб,,1 млн руб.,rusprofile
"ООО ""АУДИТПРОСЕРВИС""",3906404390,1213900008761,390640439,"236006,Калининградская область,г Калининград,Малоярославская ул, д. 16, кв. 36",Действующая,Да,,10 000 руб,,1 тыс. руб.,rusprofile
"ООО ""ЦВР""",3917053520,1203900006474,391705352,"238300,Калининградская область,Гурьевский район, город Гурьевск,Заречная ул, д. 19б",Действующая,Да,,10 000 руб,,1 млн руб.,rusprofile
"ООО ""ФОДИЛЕР""",7727443696,1207700160249,772744369,"236022,Калининградская область,г Калининград,Комсомольская ул, д. 53-61, литер I из литера а , этаж 1, кабинет 4/1",Действующая,Да,,10 000 руб,,1 млн руб.,rusprofile
"ООО ""АРНЭЯ""",3906343411,1163926084321,390634341,"236029,Калининградская область,город Калининград,ул. Гайдара, д. 121, кв. 13",Действующая,Да,,10 000 руб,,1 млн руб.,rusprofile
"ООО ""АЙТИСИ ВЕКТОР""",3906407619,1213900013205,390640761,"236022,Калининградская область,г Калининград,Уральская ул, д. 18, помещ. VI этаж 4 помещение № 420 офис7",Действующая,Да,,10 000 руб,,1 тыс. руб.,rusprofile
"ООО ""МОБИЛИТИКА""",3906394504,1203900011424,390639450,"236040,Калининградская область,г Калининград,пл Победы, д. 10, офис 505 г,д",Действующая,Да,,"19 607,84 руб",,1 млн руб.,rusprofile
"ООО ""СМС МЕДИА""",3906120670,1043902810522,390612067,"236006,Калининградская область,город Калининград,Московский пр-кт, д.121а",Действующая,Да,,10 000 руб,,1 млн руб.,rusprofile
"ООО ""ФОН ШТИРЛИЦ И ДРУЗЬЯ""",3906379760,1193926005910,390637976,"236029,Калининградская область,город Калининград,ул. Гайдара, д. 89, кв.1",Действующая,Да,,10 000 руб,,1 млн руб.,rusprofile
"ООО ""АКТИВ""",3906169019,1073906005282,390616901,"236017,Калининградская область,город Калининград,ул. Д.Донского, д. 25",Действующая,Да,,100 000 руб,,1 млн руб.,rusprofile
"ООО ""ФЕСТТ""",3906362044,1173926029397,390636204,"236038,Калининградская область,город Калининград,Орудийная ул., д. 20в, кв. 59",Действующая,Да,,10 000 руб,,1 млн руб.,rusprofile
"ООО ""БЭКОРДЕР.РУ""",3906348040,1173926002337,390634804,"236010,Калининградская область,город Калининград,ул. Тенистая Аллея, д. 18",Действующая,Да,,10 000 руб,,1 млн руб.,rusprofile
"ООО ""ХЕРМОН ГРУПП""",3906407545,1213900013117,390640754,"236010,Калининградская область,г Калининград,пр-кт Победы, д. 157а",Действующая,Да,,100 000 руб,,7 млн руб.,rusprofile
"ООО ""КНТ ФАКЕЛ""",3906384961,1193926014545,390638496,"236005,Калининградская область,город Калининград,Садовая ул., д. 1, кв. 22",Действующая,Да,,10 000 руб,,1 млн руб.,rusprofile
